ID	Public Gene IDs	Gene Symbol	Description	Chromosome	Strand	Group	Start	Stop
TC0100012409.hg.1	NR_106781; ENST00000621981	MIR6723	microRNA 6723	chr1	-	Precursor_microRNA	632325	632413
TC0100012701.hg.1	zeynobu.aAug10-unspliced	zeynobu	Transcript Identified by AceView	chr1	-	Coding	6841299	6841672
TC0100012740.hg.1	reeplu.aAug10-unspliced	reeplu	Transcript Identified by AceView	chr1	-	Unassigned	8016161	8019116
TC0100012764.hg.1	gomabo.aAug10-unspliced	gomabo	Transcript Identified by AceView	chr1	-	Unassigned	8408514	8410817
TC0100012773.hg.1	toyplu.aAug10-unspliced	toyplu	Transcript Identified by AceView	chr1	-	Unassigned	8803511	8804278
TC0100013271.hg.1	rawabo.aAug10-unspliced	rawabo	Transcript Identified by AceView	chr1	-	Coding	23150024	23150463
TC0100013274.hg.1	meeloybu.aAug10-unspliced	meeloybu	Transcript Identified by AceView	chr1	-	Unassigned	23320034	23320992
TC0100013293.hg.1	NM_002167; ENST00000374561; ENST00000463312; ENST00000486541; BC003107; OTTHUMT00000008904; OTTHUMT00000008905; OTTHUMT00000091255	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	chr1	-	Multiple_Complex	23557918	23559794
TC0100013498.hg.1	ENST00000611385; uc057eas.1	uc_338	TUC338 [Source:RFAM;Acc:RF02271]	chr1	-	NonCoding	29171285	29171453
TC0100013559.hg.1	smozubo.aAug10-unspliced	smozubo	Transcript Identified by AceView	chr1	-	Coding	31290771	31291284
TC0100013785.hg.1	uc057faa.1	RNU6-608P	RNA, U6 small nuclear 608, pseudogene [Source:HGNC Symbol;Acc:HGNC:47571]	chr1	-	Small_RNA	39120940	39121043
TC0100013858.hg.1	heroro.aAug10-unspliced	heroro	Transcript Identified by AceView	chr1	-	Unassigned	41168644	41170734
TC0100013924.hg.1	NM_001256399; NM_001256401; NM_001256402; NM_022821; NR_046117; NR_106792; ENST00000372458; ENST00000413844; ENST00000464204; ENST00000465321; ENST00000468865; ENST00000470769; ENST00000470968; ENST00000478481; ENST00000479439; ENST00000479686; ENST00000482302; ENST00000487209; ENST00000496932; ENST00000497050; ENST00000497569; ENST00000621166; ENST00000621943; BC000618; BC095456; OTTHUMT00000019496; OTTHUMT00000019497; OTTHUMT00000019498; OTTHUMT00000019499; OTTHUMT00000019500; OTTHUMT00000019501; OTTHUMT00000019502; OTTHUMT00000019503; OTTHUMT00000019504; OTTHUMT00000019505; OTTHUMT00000019506; OTTHUMT00000019507; OTTHUMT00000019508; OTTHUMT00000019509	ELOVL1; MIR6734	ELOVL fatty acid elongase 1; microRNA 6734	chr1	-	Multiple_Complex	43363397	43368074
TC0100014028.hg.1	jeyrobo.aAug10-unspliced	jeyrobo	Transcript Identified by AceView	chr1	-	Unassigned	45649084	45649948
TC0100014267.hg.1	uc057gur.1	AC099796.2		chr1	-	Precursor_microRNA	54481504	54481566
TC0100014317.hg.1	spawreybo.aAug10-unspliced	spawreybo	Transcript Identified by AceView	chr1	-	Unassigned	56569193	56570735
TC0100014461.hg.1	ENST00000607528.1; OTTHUMT00000471371; uc057hgm.1	RP4-535B20.4	novel transcript	chr1	-	NonCoding	65003470	65004087
TC0100014462.hg.1				chr1	-	NonCoding	65008873	65012794
TC0100014651.hg.1	kleyneebu.aAug10-unspliced	kleyneebu	Transcript Identified by AceView	chr1	-	Unassigned	77627899	77630470
TC0100014661.hg.1	snerneebu.aAug10-unspliced	snerneebu	Transcript Identified by AceView	chr1	-	Unassigned	77952369	77953154
TC0100014787.hg.1	swanerbu.bAug10-unspliced	swanerbu	Transcript Identified by AceView	chr1	-	Unassigned	85631097	85632502
TC0100014898.hg.1	sneymawbo.aAug10-unspliced	sneymawbo	Transcript Identified by AceView	chr1	-	Coding	90989401	90989900
TC0100014939.hg.1	klerneybu.aAug10-unspliced	klerneybu	Transcript Identified by AceView	chr1	-	Coding	92930705	92934098
TC0100014960.hg.1	temira.aAug10-unspliced	temira	Transcript Identified by AceView	chr1	-	Coding	93594945	93596787
TC0100015563.hg.1	plawmeybo.aAug10-unspliced	plawmeybo	Transcript Identified by AceView	chr1	-	Coding	144452659	144453537
TC0100015573.hg.1	timuma.aAug10-unspliced	timuma	Transcript Identified by AceView	chr1	-	Unassigned	144948907	144949546
TC0100015575.hg.1	sleemorbo.aAug10-unspliced	sleemorbo	Transcript Identified by AceView	chr1	-	Coding	145018139	145018948
TC0100015644.hg.1				chr1	-	NonCoding	148100257	148107415
TC0100016909.hg.1	skokorbo.aAug10	skokorbo	Transcript Identified by AceView	chr1	-	Unassigned	201286507	201287185
TC0100017139.hg.1	verlorbo.aAug10-unspliced	verlorbo	Transcript Identified by AceView	chr1	-	Coding	207858761	207859363
TC0100017324.hg.1				chr1	-	NonCoding	217501775	217509265
TC0100017552.hg.1				chr1	-	NonCoding	227238130	227242231
TC0100017993.hg.1	mumerbu.aAug10-unspliced	mumerbu	Transcript Identified by AceView	chr1	-	Unassigned	243803186	243806369
TC0100018055.hg.1	seseyo.aAug10-unspliced	seseyo	Transcript Identified by AceView	chr1	-	Unassigned	246255791	246258423
TC0100018291.hg.1	NR_103778; NR_103779; ENST00000392688; ENST00000445097; ENST00000629331	FLG-AS1	FLG antisense RNA 1	chr1	+	NonCoding	152313459	152366692
TC0200007185.hg.1	chawklaw.aAug10-unspliced	chawklaw	Transcript Identified by AceView	chr2	+	Unassigned	32358586	32359013
TC0200007193.hg.1	ENST00000623116; OTTHUMT00000476394; uc061hyl.1	AL133243.4	TEC	chr2	+	Unassigned	32563328	32566436
TC0200007367.hg.1				chr2	+	NonCoding	42637961	42638048
TC0200007461.hg.1	joyjoybu.aAug10-unspliced	joyjoybu	Transcript Identified by AceView	chr2	+	Unassigned	46305768	46306148
TC0200007717.hg.1	NM_152392; ENST00000357022; ENST00000394457; ENST00000410073; ENST00000463681; ENST00000471542; ENST00000484217; ENST00000487904; ENST00000489653; ENST00000491217; ENST00000493310; ENST00000493628; BC113671; BC117278; OTTHUMT00000251598; OTTHUMT00000251599; OTTHUMT00000325689; OTTHUMT00000325691; OTTHUMT00000325707; OTTHUMT00000325736; OTTHUMT00000325737; OTTHUMT00000325738; OTTHUMT00000325739; OTTHUMT00000325740; OTTHUMT00000327078	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	chr2	+	Multiple_Complex	61177418	61191203
TC0200007763.hg.1	studaw.aAug10-unspliced	studaw	Transcript Identified by AceView	chr2	+	Unassigned	62895807	62896681
TC0200007764.hg.1	shukubu.aAug10-unspliced	shukubu	Transcript Identified by AceView	chr2	+	Unassigned	62896914	62901082
TC0200007767.hg.1	sherkubu.aAug10-unspliced	sherkubu	Transcript Identified by AceView	chr2	+	Unassigned	62953034	62954288
TC0200008272.hg.1				chr2	+	NonCoding	85837017	85839082
TC0200008313.hg.1	nadorbu.aAug10-unspliced	nadorbu	Transcript Identified by AceView	chr2	+	Unassigned	87486761	87487555
TC0200008318.hg.1	spokabo.aAug10-unspliced	spokabo	Transcript Identified by AceView	chr2	+	Unassigned	87697087	87697919
TC0200008540.hg.1	NR_103732; NR_103733; NR_130704; OTTHUMT00000476581; OTTHUMT00000476582; OTTHUMT00000476583; OTTHUMT00000476587; OTTHUMT00000476589; OTTHUMT00000476873; romomo.eAug10; uc061lyo.1; uc061lyp.1; uc061lyq.1; uc061lyr.1; uc061lys.1; uc061lyt.1	LOC100506076; LOC100506123; RP11-734K23.9; romomo	uncharacterized LOC100506076; uncharacterized LOC100506123; novel transcript; Transcript Identified by AceView	chr2	+	Multiple_Complex	97278717	97291878
TC0200009368.hg.1				chr2	+	NonCoding	132278655	132281513
TC0200009779.hg.1	NR_106948; ENST00000621977	MIR6888	microRNA 6888	chr2	+	Precursor_microRNA	159186835	159186901
TC0200009891.hg.1	jordar.aAug10	jordar	Transcript Identified by AceView	chr2	+	Coding	168117142	168121604
TC0200010403.hg.1	jawgeybo.aAug10-unspliced	jawgeybo	Transcript Identified by AceView	chr2	+	Unassigned	199962922	199963446
TC0200010411.hg.1	rorswaby.aAug10-unspliced	rorswaby	Transcript Identified by AceView	chr2	+	Unassigned	200313180	200314112
TC0200010467.hg.1	NM_001261435; NM_001261436; NM_139158; ENST00000260967; ENST00000410091; ENST00000434439; ENST00000450471; ENST00000451080; ENST00000460149; ENST00000466337; ENST00000488419; ENST00000493754; BC038807; OTTHUMT00000256311; OTTHUMT00000336049; OTTHUMT00000336050; OTTHUMT00000336051; OTTHUMT00000336053; OTTHUMT00000336054; OTTHUMT00000336055; OTTHUMT00000336056; OTTHUMT00000336057	CDK15	cyclin-dependent kinase 15	chr2	+	Multiple_Complex	201790461	201895550
TC0200010735.hg.1	ENST00000623250; OTTHUMT00000431724; uc061sev.1	RP11-566E18.1	TEC	chr2	+	NonCoding	216211404	216213519
TC0200010812.hg.1	smoypabo.aAug10-unspliced	smoypabo	Transcript Identified by AceView	chr2	+	Coding	218799319	218799735
TC0200011114.hg.1	sajabo.aAug10-unspliced	sajabo	Transcript Identified by AceView	chr2	+	Coding	232823409	232824014
TC0200011248.hg.1	slydoybu.aAug10-unspliced	slydoybu	Transcript Identified by AceView	chr2	+	Coding	237392491	237393363
TC0200011383.hg.1	ruyura.aAug10-unspliced	ruyura	Transcript Identified by AceView	chr2	+	Coding	241076059	241078382
TC0200011401.hg.1				chr2	+	NonCoding	241339087	241342962
TC0200011756.hg.1	uc061gst.1	RNA5SP85	5S ribosomal pseudogene 85 [Source:HGNC Symbol;Acc:HGNC:42883]	chr2	-	Ribosomal	11561661	11561779
TC0200011963.hg.1				chr2	-	NonCoding	23724948	23730450
TC0200012253.hg.1	uc061icv.1	RNU6-577P	RNA, U6 small nuclear 577, pseudogene [Source:HGNC Symbol;Acc:HGNC:47540]	chr2	-	Small_RNA	36867398	36867495
TC0200012322.hg.1	nerkly.aAug10-unspliced	nerkly	Transcript Identified by AceView	chr2	-	Unassigned	39312131	39314172
TC0200012323.hg.1	ENST00000609671.1; OTTHUMT00000471547; uc061ilj.1	RP11-449G16.1	novel transcript, sense intronic to MAP4K3	chr2	-	NonCoding	39323328	39323804
TC0200012406.hg.1	kloklaw.aAug10-unspliced	kloklaw	Transcript Identified by AceView	chr2	-	Unassigned	43257783	43258242
TC0200012507.hg.1				chr2	-	NonCoding	47305824	47306050
TC0200012856.hg.1	klolar.aAug10-unspliced	klolar	Transcript Identified by AceView	chr2	-	Unassigned	65117579	65118775
TC0200012965.hg.1	snoydarbu.aAug10-unspliced	snoydarbu	Transcript Identified by AceView	chr2	-	Coding	69523349	69525736
TC0200013353.hg.1	jeekeybo.aAug10-unspliced	jeekeybo	Transcript Identified by AceView	chr2	-	Coding	87824890	87825365
TC0200013504.hg.1				chr2	-	NonCoding	95766763	95775965
TC0200013623.hg.1	kaklar.aAug10-unspliced	kaklar	Transcript Identified by AceView	chr2	-	Unassigned	99819587	99820163
TC0200013632.hg.1	fleejybu.aAug10-unspliced; soni.aAug10-unspliced	fleejybu; soni	Transcript Identified by AceView	chr2	-	Coding	99973706	99978899
TC0200013633.hg.1	kleydey.aAug10-unspliced	kleydey	Transcript Identified by AceView	chr2	-	Unassigned	99979502	99981073
TC0200013847.hg.1	barder.aAug10-unspliced	barder	Transcript Identified by AceView	chr2	-	Coding	109838997	109839651
TC0200013892.hg.1	ENST00000432268.1; OTTHUMT00000332148; uc061mye.1	AC017002.2	novel transcript	chr2	-	NonCoding	111491943	111494811
TC0200014169.hg.1	manemo.aAug10-unspliced	manemo	Transcript Identified by AceView	chr2	-	Unassigned	127267447	127269451
TC0200014718.hg.1	meydo.aAug10-unspliced	meydo	Transcript Identified by AceView	chr2	-	Unassigned	159261924	159263264
TC0200014720.hg.1	joyfarbu.aAug10-unspliced	joyfarbu	Transcript Identified by AceView	chr2	-	Coding	159400061	159400431
TC0200014742.hg.1	wawly.aAug10-unspliced	wawly	Transcript Identified by AceView	chr2	-	Unassigned	160490465	160491475
TC0200014950.hg.1				chr2	-	NonCoding	173632531	173634381
TC0200014997.hg.1	forveybo.aAug10-unspliced	forveybo	Transcript Identified by AceView	chr2	-	Coding	174635519	174636181
TC0200015008.hg.1				chr2	-	NonCoding	175068910	175069992
TC0200015061.hg.1	laklaw.aAug10-unspliced	laklaw	Transcript Identified by AceView	chr2	-	Unassigned	177249634	177250791
TC0200015372.hg.1	smeegabu.aAug10-unspliced	smeegabu	Transcript Identified by AceView	chr2	-	Unassigned	199790981	199794673
TC0200015894.hg.1	DOCK10.rAug10-unspliced	DOCK10	Transcript Identified by AceView, Entrez Gene ID(s) 55619	chr2	-	Unassigned	224766764	224767264
TC0200015896.hg.1	hunimo.aAug10-unspliced	hunimo	Transcript Identified by AceView	chr2	-	Unassigned	224965465	224966216
TC0200016583.hg.1	NR_131917	LOC105747689	uncharacterized LOC105747689	chr2	+	NonCoding	191690181	191720329
TC0200016677.hg.1				chr2	-	NonCoding	63675614	63711585
TC0300006545.hg.1	fudawbo.aAug10-unspliced	fudawbo	Transcript Identified by AceView	chr3	+	Unassigned	9405766	9406606
TC0300006841.hg.1	garfabo.aAug10-unspliced	garfabo	Transcript Identified by AceView	chr3	+	Unassigned	23828082	23829176
TC0300006912.hg.1	sweeskoyby.aAug10-unspliced	sweeskoyby	Transcript Identified by AceView	chr3	+	Coding	29919529	29920857
TC0300007064.hg.1	ENST00000363709; uc062iev.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr3	+	NonCoding	38014568	38014669
TC0300007403.hg.1	shaforbo.aAug10-unspliced	shaforbo	Transcript Identified by AceView	chr3	+	Coding	50018085	50018492
TC0300007614.hg.1	ENST00000607214.1; OTTHUMT00000471115; uc062laf.1	RP11-802O23.3	novel transcript, antisense to PDHB	chr3	+	NonCoding	58428255	58428815
TC0300007650.hg.1				chr3	+	NonCoding	61894556	61895136
TC0300007766.hg.1				chr3	+	NonCoding	70863027	70871757
TC0300008077.hg.1				chr3	+	NonCoding	96617185	96618195
TC0300008131.hg.1	nerswoyby.aAug10-unspliced	nerswoyby	Transcript Identified by AceView	chr3	+	Unassigned	99639269	99639653
TC0300008164.hg.1	reebawbo.aAug10-unspliced	reebawbo	Transcript Identified by AceView	chr3	+	Unassigned	101332560	101333105
TC0300009166.hg.1	deedoybu.aAug10-unspliced	deedoybu	Transcript Identified by AceView	chr3	+	NonCoding	150429000	150431242
TC0300009365.hg.1				chr3	+	NonCoding	161723213	161723607
TC0300009501.hg.1	jorkarbu.aAug10-unspliced	jorkarbu	Transcript Identified by AceView	chr3	+	Unassigned	172104576	172105637
TC0300009598.hg.1	komura.aAug10-unspliced	komura	Transcript Identified by AceView	chr3	+	Unassigned	179175661	179178080
TC0300009731.hg.1	NM_001242314; NM_001242317; NM_004721; NR_038322; ENST00000265026; ENST00000420577; ENST00000424227; ENST00000428617; ENST00000433092; ENST00000438053; ENST00000438798; ENST00000439882; ENST00000443863; ENST00000446828; ENST00000447637; ENST00000448876; ENST00000454237; ENST00000455188; ENST00000477582; BC111726; OTTHUMT00000345268; OTTHUMT00000345269; OTTHUMT00000345270; OTTHUMT00000345271; OTTHUMT00000345272; OTTHUMT00000345273; OTTHUMT00000345274; OTTHUMT00000345275; OTTHUMT00000345276; OTTHUMT00000345277; OTTHUMT00000345278; OTTHUMT00000345279; OTTHUMT00000345280; OTTHUMT00000345281; OTTHUMT00000345282	MAP3K13	mitogen-activated protein kinase kinase kinase 13	chr3	+	Multiple_Complex	185282941	185489097
TC0300009791.hg.1	fonybu.aAug10-unspliced	fonybu	Transcript Identified by AceView	chr3	+	Unassigned	186979271	186980619
TC0300009816.hg.1	mamera.aAug10-unspliced	mamera	Transcript Identified by AceView	chr3	+	Coding	188161440	188163951
TC0300009975.hg.1	flarnarbo.aAug10-unspliced	flarnarbo	Transcript Identified by AceView	chr3	+	Unassigned	195674522	195676330
TC0300010083.hg.1	uc062shj.1	RNU6-860P	RNA, U6 small nuclear 860, pseudogene [Source:HGNC Symbol;Acc:HGNC:47823]	chr3	+	Small_RNA	198196746	198196849
TC0300010398.hg.1				chr3	-	NonCoding	15252882	15254247
TC0300010451.hg.1	shydorbo.aAug10-unspliced	shydorbo	Transcript Identified by AceView	chr3	-	Coding	17665598	17666036
TC0300010723.hg.1	ENST00000383918; uc062icd.1	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	chr3	-	NonCoding	37093133	37093234
TC0300010726.hg.1	florfobo.aAug10-unspliced	florfobo	Transcript Identified by AceView	chr3	-	Unassigned	37147661	37148788
TC0300010787.hg.1	snyfarbo.aAug10-unspliced	snyfarbo	Transcript Identified by AceView	chr3	-	Unassigned	40041517	40042233
TC0300010847.hg.1	smyswerby.bAug10-unspliced	smyswerby	Transcript Identified by AceView	chr3	-	Unassigned	42621299	42622425
TC0300011005.hg.1	syfeybo.aAug10-unspliced	syfeybo	Transcript Identified by AceView	chr3	-	Unassigned	47964340	47965086
TC0300011496.hg.1				chr3	-	NonCoding	71191518	71192220
TC0300011545.hg.1				chr3	-	NonCoding	72976858	72983040
TC0300011589.hg.1	ENST00000481669	RP11-413E6.2		chr3	-	Pseudogene	75590298	75590649
TC0300011654.hg.1	chordybo.aAug10-unspliced	chordybo	Transcript Identified by AceView	chr3	-	Unassigned	81501717	81503714
TC0300011818.hg.1	kakome.aAug10-unspliced	kakome	Transcript Identified by AceView	chr3	-	Coding	98831085	98834115
TC0300012378.hg.1	charvawbo.aAug10-unspliced	charvawbo	Transcript Identified by AceView	chr3	-	Unassigned	129173101	129174303
TC0300012540.hg.1	weydybu.aAug10-unspliced	weydybu	Transcript Identified by AceView	chr3	-	Unassigned	136699563	136700098
TC0300012896.hg.1				chr3	-	NonCoding	156535066	156536901
TC0300013091.hg.1				chr3	-	NonCoding	170100977	170101164
TC0300013214.hg.1	ENST00000434246	MTND5P15	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:42277]	chr3	-	Multiple_Complex	177010719	177011067
TC0300013295.hg.1				chr3	-	NonCoding	180977630	180980379
TC0300013424.hg.1	NR_049838; ENST00000580207	MIR548AQ	microRNA 548aq	chr3	-	Precursor_microRNA	185767847	185767904
TC0400006469.hg.1	rekume.bAug10-unspliced	rekume	Transcript Identified by AceView	chr4	+	Unassigned	597310	597846
TC0400006964.hg.1				chr4	+	NonCoding	16260542	16261153
TC0400007025.hg.1	netome.aAug10-unspliced	netome	Transcript Identified by AceView	chr4	+	Coding	20736858	20740015
TC0400007123.hg.1	sutome.aAug10-unspliced	sutome	Transcript Identified by AceView	chr4	+	Coding	26354385	26355638
TC0400007273.hg.1	swoysmeyby.aAug10-unspliced	swoysmeyby	Transcript Identified by AceView	chr4	+	Unassigned	38923641	38924348
TC0400007496.hg.1	snospawby.aAug10-unspliced	snospawby	Transcript Identified by AceView	chr4	+	Coding	51858914	51859647
TC0400007560.hg.1				chr4	+	NonCoding	55398392	55398888
TC0400007563.hg.1	nesiyu.aAug10	nesiyu	Transcript Identified by AceView	chr4	+	Unassigned	55427808	55429606
TC0400007907.hg.1	smeegla.aAug10-unspliced	smeegla	Transcript Identified by AceView	chr4	+	Coding	76725450	76726526
TC0400007939.hg.1	lergar.aAug10-unspliced	lergar	Transcript Identified by AceView	chr4	+	Unassigned	78781535	78782644
TC0400008043.hg.1	PTPN13.tAug10-unspliced	PTPN13	Transcript Identified by AceView, Entrez Gene ID(s) 5783	chr4	+	Unassigned	86693816	86694076
TC0400008044.hg.1	shybybo.aAug10-unspliced	shybybo	Transcript Identified by AceView	chr4	+	Coding	86767240	86767752
TC0400008261.hg.1				chr4	+	NonCoding	102168742	102175810
TC0400008273.hg.1	fuswoby.aAug10-unspliced	fuswoby	Transcript Identified by AceView	chr4	+	Unassigned	102586262	102588873
TC0400008383.hg.1				chr4	+	NonCoding	109706419	109706484
TC0400008432.hg.1	teesnawby.aAug10-unspliced	teesnawby	Transcript Identified by AceView	chr4	+	Unassigned	112417755	112419239
TC0400008459.hg.1	uc062zdx.1	RNU1-138P	RNA, U1 small nuclear 138, pseudogene [Source:HGNC Symbol;Acc:HGNC:48480]	chr4	+	Small_RNA	113420323	113420486
TC0400008522.hg.1				chr4	+	NonCoding	117258141	117259576
TC0400008558.hg.1	tawsneeby.aAug10-unspliced	tawsneeby	Transcript Identified by AceView	chr4	+	Unassigned	119236173	119237544
TC0400008985.hg.1	hsa_circ_0092309	RPS3A	Zhang2013 ALT_DONOR, coding, INTERNAL, intronic best transcript NM_001006	chr4	+	NonCoding	151100589	151100928
TC0400009378.hg.1				chr4	+	NonCoding	176296368	176296825
TC0400009614.hg.1				chr4	+	NonCoding	189276208	189277937
TC0400009876.hg.1	ENST00000363891	RN7SKP113	RNA, 7SK small nuclear pseudogene 113 [Source:HGNC Symbol;Acc:HGNC:45837]	chr4	-	NonCoding	4920770	4921064
TC0400010148.hg.1	kysmeeby.aAug10-unspliced	kysmeeby	Transcript Identified by AceView	chr4	-	Coding	16870248	16870610
TC0400010311.hg.1				chr4	-	NonCoding	27025314	27025765
TC0400011067.hg.1	uc032tmp.2	RNU6-145P	RNA, U6 small nuclear 145, pseudogene [Source:HGNC Symbol;Acc:HGNC:47108]	chr4	-	Small_RNA	76532222	76532327
TC0400011384.hg.1	sweyfloy.aAug10-unspliced	sweyfloy	Transcript Identified by AceView	chr4	-	Coding	98495460	98496481
TC0400011385.hg.1	jeesnoby.aAug10-unspliced	jeesnoby	Transcript Identified by AceView	chr4	-	Coding	98561704	98562091
TC0400011386.hg.1	keysnoby.aAug10-unspliced	keysnoby	Transcript Identified by AceView	chr4	-	Coding	98613137	98618380
TC0400011388.hg.1	staswuby.aAug10-unspliced	staswuby	Transcript Identified by AceView	chr4	-	Unassigned	98644131	98646001
TC0400011389.hg.1	nerglu.aAug10-unspliced	nerglu	Transcript Identified by AceView	chr4	-	Coding	98652041	98656126
TC0400011525.hg.1	barglu.aAug10-unspliced	barglu	Transcript Identified by AceView	chr4	-	Unassigned	106074314	106078378
TC0400011713.hg.1	susume.aAug10-unspliced	susume	Transcript Identified by AceView	chr4	-	Unassigned	119512998	119515565
TC0400011910.hg.1	uc032txu.2	AC093875.1		chr4	-	Precursor_microRNA	136707178	136707261
TC0400012235.hg.1	uc032uax.2	AC093817.1		chr4	-	Precursor_microRNA	157588148	157588235
TC0400012299.hg.1				chr4	-	NonCoding	163048197	163075201
TC0400012368.hg.1	sharbeybo.aAug10-unspliced	sharbeybo	Transcript Identified by AceView	chr4	-	Coding	168365760	168366151
TC0400012435.hg.1				chr4	-	NonCoding	173347733	173351574
TC0400012713.hg.1	ENST00000624757; OTTHUMT00000431705; uc063bqm.1	RP11-756P10.6	tec	chr4	-	Unassigned	188740507	188741281
TC0400012972.hg.1	NM_020724; ENST00000306799; ENST00000420921; ENST00000506101; ENST00000507500; ENST00000515057; BC101992; OTTHUMT00000364740; OTTHUMT00000364741; OTTHUMT00000364742; OTTHUMT00000364743; OTTHUMT00000364744	RNF150	ring finger protein 150	chr4	-	Multiple_Complex	140865571	141212877
TC0500006804.hg.1	peyskoby.aAug10-unspliced	peyskoby	Transcript Identified by AceView	chr5	+	Coding	14147234	14147569
TC0500006805.hg.1	pleygor.aAug10-unspliced	pleygor	Transcript Identified by AceView	chr5	+	Unassigned	14188786	14192278
TC0500006808.hg.1	uc063ckq.1	AC016549.1	GALI1870  [Source:UniProtKB/TrEMBL;Acc:Q6UWR0]	chr5	+	Coding	14341288	14343089
TC0500006812.hg.1	voyslarbu.aAug10-unspliced	voyslarbu	Transcript Identified by AceView	chr5	+	Unassigned	14425316	14430237
TC0500006813.hg.1	dastuby.aAug10-unspliced	dastuby	Transcript Identified by AceView	chr5	+	Unassigned	14425936	14427385
