Names	total	elements
		AC091154.1
		spagor
		spushorby
		jorkarbu
		RP3-425C14.4
		CTD-2024I7.18; styjy
		AC004837.1
		AC017002.2
		hihime
		sherkubu
		RP11-413E6.2
		smuslawbu
		CDK15
		nesiyu
		fleyshee
		AC004673.1
		weydybu
		mocho
		spoymaw
		lersobo
		AL137024.1
		RAB30-AS1
		skostorby
		tumare
		forreybo
		speyflu
		sleemorbo
		flarnarbo
		gloysneebu
		boyblabu
		SNORD15B
		chorsnu
		spagar
		plylo
		RP11-305O6.3
		glyny
		gloysmerbu
		LTBP4
		hunimo
		KLHDC3
		SNORD62B; SNORD62A
		AL590096.1
		RBBP9
		glawoy
		jawvubo
		fudawbo
		gleyzer
		AP003176.1
		keysnoby
		wocheyby
		RNU6-145P
		RNU6-132P
		pykleebu
		swoshey
		tuleeby
		AL157399.1
		sneymawbo
		flymerby; slorkloyby
		zarskubu
		snoyla
		AC067735.1
		RP11-113K21.1
		spawflu
		doytubo
		RPS3A
		blerlaby
		AC090673.1
		LOC100506076; LOC100506123; RP11-734K23.9; romomo
		peychaby
		smeewaw
		moyzar
		fleyglyby
		RP11-477H21.2
		temira
		spokabo
		netome
		MAP3K13
		RP4-535B20.4
		teesnawby
		RNU6-30P
		kloklaw
		shoglu
		kaklar
		fusny
		RNU6-1169P
		RP11-416A14.1
		RP11-802O23.3
		blawpey
		snyfarbo
		torstawby
		tawsneeby
		mymu
		kawgee
		flychobu
		SNORA40
		Gene Symbol
		gugoy
		swaly
		karshobu
		RNU6-860P
		RP11-561O23.8
		nerglu
		sloyjaw
		zorklor
		blorplaby
		beeku
		RP11-90D4.3
		chawro
		sterslerbu
		floyrawbu
		MGC24103
		RANBP17
		RNU6-577P
		gluvubu
		shydorbo
		SNORD116-2
		MIR548AU
		cheeworby; jerstuby
		sweeblawby
		hahima
		sperwy
		tarserbo
		somire
		veestee
		PCDHB11
		snerneebu
		RPL37AP8
		sweyfloy
		yotami
		wularbo
		blawklor
		RNU6-1329P
		skokorbo
		spawreybo
		jyvar
		snarstee
		saswer
		vostarby
		RNU6-785P
		PHF1
		shorcha
		plyspoby
		gogloy
		RNU6-1016P
		slawglorbu
		SPRY3
		studo
		reeplu
		florgar
		sharsha
		jordar
		klolar
		AC099796.2
		glarklaw
		zeynobu
		plysnorbu
		komura
		nadorbu
		chaflerbu
		RNY1P5
		LOC100190986
		zorskubu
		rekume
		SNORA13
		jawserbo
		snareeby
		RN7SKP271
		shybybo
		dysy
		teenoy
		SNORA54
		mumerbu
		flobler
		EXT1; spawla
		lergler
		dorskoyby
		seezo
		snerblarbu
		LOC101929709; RP11-37B2.1; smarzeeby
		temare
		sloma
		RNA5SP19
		meydo
		skopoybo
		sarura
		chaper
		RP11-196G18.24
		verlorbo
		AL022574.1
		AL035457.1
		neebu
		RDXP2
		teyjeeby
		boyblu
		teymorby
		CPTP
		SNORA28
		bosmey
		AC022537.1
		RNU6-308P
		bygar
		DLG4
		RNA5SP85
		RP11-214O1.3
		RNU7-53P
		jawgeybo
		klerflu
		roydu
		zorbla
		snoU109
		kihere
		GAS2L3
		RP11-798G7.8
		stawfy
		staswuby
		lucher
		wupa
		RP5-855D21.3
		kleyneebu
		mohomu
		fleejybu; soni
		losneybu
		MIR29A; MIR29B1; LINC-PINT
		ZNF271P
		kyfoy
		LOC105747689
		snykawby
		steeklee
		RP11-326G21.1
		FAM35BP; RHEBP1
		RP11-756P10.6
		nerkly
		sajabo
		Y_RNA
		sperfor
		lawgar
		RNU6-496P
		sweeskoyby
		wawleybo
		sneyfer
		dorgorby
		snospawby
		wospar
		fonybu
		flupawbu
		leezuby
		AC005702.4
		SNORD114-21
		jeyrobo
		IGHVIII-25-1
		toypoy
		ASXL1
		KCTD16
		deedoybu
		uc_338
		pokee
		storloy
		ruyura
		lykloby
		joywobu
		reebawbo
		RN7SKP113
		fartar
		MIR4737
		AC132068.1
		blyshey
		darvubo
		jasnoybu
		ATG4D
		skeeforby
		bleefaby
		RNF150
		kysmeeby
		skuveybu
		ploysorbu
		swerloybu
		larfleyby
		AC026449.1
		lufey
		serera
		RNY4P10
		FLG-AS1
		royveeby
		rykaw
		basteyby
		tihuri
		plawmeybo
		dorko
		swarpy
		SCAND3P1
		warslar
		chustuby
		ELOVL1; MIR6734
		smozubo
		glarfa
		PCGF2
		SNORD93
		jychu
		AC005702.3
		keymaw
		RP11-177G23.2
		lyjoby
		chofarby
		NEAT1; MIR612
		slabo
		RP11-274B21.10
		sufaw
		AC239395.1
		charsho
		TRDJ3
		RP11-383J24.6
		meeloybu
		RP11-214K3.19
		SNORA71C
		Metazoa_SRP; AL139320.1
		varsperbu
		jydeeby
		storsmy
		flusnor
		UXT
		leemaw
		vytaw
		zorflo
		RNU4-67P
		romare
		AC093875.1
		plawgoyby
		rorswaby
		vormobu
		rimemu
		toyplu
		LOC728673; GLIDR; RP11-262H14.4
		TMCC1P1
		AL359973.1
		jeekeybo
		dawstoybu
		sharbeybo
		snakluby
		AL133243.4
		MIR625
		plawerby
		RP11-346C20.3; RP11-346C20.4
		joyjoybu
		porcho
		smuvee
		fuswoby
		dorfoby
		joyfarbu
		RN7SL720P
		chorvey
		CTD-2201E9.2
		moyplu
		ULK4P3; ULK4P2
		laklaw
		blerverby
		vycher
		PTPN13
		sterchee
		AC016577.1
		jeesmeebu
		RNY4P25
		RNU6-608P
		farskobu
		MIR6723
		RP4-575N6.5
		barder
		RP11-214K3.21
		RP1-68D18.2
		cheychaby
		RNU1-138P
		smoypabo
		motaby
		wusher
		chuchee
		AL136221.3
		SNORA11
		AC005702.2
		blybly
		swanerbu
		kuhora
		RP11-214K3.22
		RP11-687E1.2
		snawchar
		poyjoy
		SERHL
		sarfarby
		FTX
		smeegla
		MOCS1
		RNU6-1011P
		NAP1L1
		neeva
		morsky
		blafu
		noykee
		skoysker
		snorla
		hituru
limma	36	zawglee
		RP11-56B16.6
		spoydarbu
		SESN3
		ATP1A2
		7SK
		geybawbu
		wusmoyby
		noywerby
		tower
		slorkloyby /// flymerby
		zeeklar
		beeskar
		shorker
		snogarbu
		jernobu
		snerla
		shoflerbu
		jybuby
		parplawbu
		MIR4451 /// AC097108.1
		blorbobu
		RNU6-797P
		shusloyby
		jawswaw
		reyfawbu
		RP5-855D21.2
		cheeworby /// jerstuby
		flashuby
		swospawbu
		blozu
		plobabo
		toybybo
		skeylerby
		rorkarby
		gleefey
