Names	total	elements
		TC0700008884.hg.1
		TC1700011155.hg.1
		TC0500008893.hg.1
		TC2000007189.hg.1
		TC0800011057.hg.1
		TC0700010672.hg.1
		TC0400011384.hg.1
		TC0400012368.hg.1
		TC0900007369.hg.1
		TC0300009166.hg.1
		TC1300008795.hg.1
		TC0300009501.hg.1
		TC0100013498.hg.1
		TC2100007987.hg.1
		TC0500008710.hg.1
		TC1000010275.hg.1
		TC0200012856.hg.1
		TC1200010401.hg.1
		TC1600009923.hg.1
		TC0600007604.hg.1
		TC0700010368.hg.1
		TC0600007414.hg.1
		TC0600008066.hg.1
		TC1200006487.hg.1
		TC0500010214.hg.1
		TC1200011440.hg.1
		TC1600007205.hg.1
		TC1400008500.hg.1
		TC0400008043.hg.1
		TC0500008712.hg.1
		TC0100017552.hg.1
		TC0800007375.hg.1
		TC1600011502.hg.1
		TC1600009203.hg.1
		TC0700008109.hg.1
		TC1500008246.hg.1
		TC0100011556.hg.1
		TC0500010420.hg.1
		TC0800006882.hg.1
		TC1600009922.hg.1
		TC0300011589.hg.1
		TC0200011114.hg.1
		TC0700012620.hg.1
		TC2000009413.hg.1
		TC1700011302.hg.1
		TC0700006899.hg.1
		TC0600007660.hg.1
		TC0X00009292.hg.1
		TC0400008985.hg.1
		TC1100012392.hg.1
		TC0100012701.hg.1
		TC1800009224.hg.1
		TC0600007930.hg.1
		TC0100007824.hg.1
		TC1700007465.hg.1
		TC0100014028.hg.1
		TC0700007181.hg.1
		TC0300007766.hg.1
		TC0X00007909.hg.1
		TC0500013423.hg.1
		TC0800011535.hg.1
		TSUnmapped00000997.hg.1
		TC2100008041.hg.1
		TC0500011744.hg.1
		TC0400012972.hg.1
		TC0400011388.hg.1
		TC1200008509.hg.1
		TC1400008336.hg.1
		TC0800010289.hg.1
		TC1300008142.hg.1
		TC0600007866.hg.1
		TC0700007950.hg.1
		TC1000009522.hg.1
		TC1700010264.hg.1
		TC1500010813.hg.1
		TC0300006912.hg.1
		TC1500007336.hg.1
		TC0600010635.hg.1
		TC1100012297.hg.1
		TC0200007193.hg.1
		TC0200011401.hg.1
		TC2000007226.hg.1
		TC0500007614.hg.1
		TC0100009875.hg.1
		TC0100010422.hg.1
		TC0600010651.hg.1
		TC0900010982.hg.1
		TC1000007707.hg.1
		TC0100009854.hg.1
		TC1200011537.hg.1
		TC1300007836.hg.1
		TC0100009265.hg.1
		TC0X00010071.hg.1
		TC1200008109.hg.1
		TC1600008378.hg.1
		TC0800011582.hg.1
		TC2200009249.hg.1
		TC0300012540.hg.1
		TC1300008832.hg.1
		TC0100012773.hg.1
		TC0300008077.hg.1
		TC0100010353.hg.1
		TC0800011402.hg.1
		TC0100012740.hg.1
		TC0500009196.hg.1
		TC1200006490.hg.1
		TC0300010451.hg.1
		TC2100008036.hg.1
		TC1200012298.hg.1
		TC1000009857.hg.1
		TC0100018291.hg.1
		TC2200007523.hg.1
		TC1700011303.hg.1
		TC0100014661.hg.1
		TC0600008617.hg.1
		TC0700007761.hg.1
		TC0700012618.hg.1
		TC0X00007564.hg.1
		TC1000009388.hg.1
		TC0200009368.hg.1
		TC1600010693.hg.1
		TC1100012425.hg.1
		TC0800008320.hg.1
		TC0800008727.hg.1
		TC2000009072.hg.1
		TC0500011521.hg.1
		TC0X00009242.hg.1
		TC1300008601.hg.1
		TC0100011877.hg.1
		TC2100006862.hg.1
		TC0900011187.hg.1
		TC1100012824.hg.1
		TC1600009179.hg.1
		TC0300012896.hg.1
		TC0900011338.hg.1
		TC1500007566.hg.1
		TC0400007563.hg.1
		TC0600008357.hg.1
		TSUnmapped00000906.hg.1
		TC2000007118.hg.1
		TC0700009054.hg.1
		TC0200009891.hg.1
		TC1700009382.hg.1
		TC2200007478.hg.1
		TC0800008212.hg.1
		TC0900006474.hg.1
		TC1400009174.hg.1
		TC0X00010121.hg.1
		TC1200006498.hg.1
		TC1500009153.hg.1
		TC0200008318.hg.1
		TC0400011389.hg.1
		TC0X00007364.hg.1
		TC1500009811.hg.1
		TC1200007155.hg.1
		TC1000007525.hg.1
		TC0400009876.hg.1
		TC0900008898.hg.1
		TC0700009313.hg.1
		TC0900006734.hg.1
		TC0900008443.hg.1
		TC0300013295.hg.1
		TC0100013924.hg.1
		TC1900010335.hg.1
		TC1700010540.hg.1
		TC1200008445.hg.1
		TC0600009542.hg.1
		TC0200012322.hg.1
		TC0100017324.hg.1
		TC0100015575.hg.1
		TC0700012124.hg.1
		TC1400007719.hg.1
		TC0100011220.hg.1
		TC0X00008815.hg.1
		TC1100006865.hg.1
		TC0900011076.hg.1
		TC1300008257.hg.1
		TC0900009001.hg.1
		TC0500006813.hg.1
		TC1500008026.hg.1
		TC0400006469.hg.1
		TC1200011947.hg.1
		TC0800012098.hg.1
		TC0400010148.hg.1
		TC0500007701.hg.1
		TC0500012373.hg.1
		TC1400008632.hg.1
		TC1000009068.hg.1
		TC0500009581.hg.1
		TC0500012580.hg.1
		TC1700008380.hg.1
		TC1400008396.hg.1
		TC1200006492.hg.1
		TC0200013847.hg.1
		TC1200008261.hg.1
		TC0600011873.hg.1
		TC0900008056.hg.1
		TC1000007632.hg.1
		TC1000011024.hg.1
		TC0800008483.hg.1
		TC1700007420.hg.1
		TC0200007367.hg.1
		TC2200008106.hg.1
		TC0100009242.hg.1
		TC1400009794.hg.1
		TC0400007025.hg.1
		TC1000007597.hg.1
		TC1000012186.hg.1
		TC1100008018.hg.1
		TC1800007940.hg.1
		TC1000007764.hg.1
		TC0800011595.hg.1
		TC1400007900.hg.1
		TC0700012614.hg.1
		TC0200007461.hg.1
		TC0200012253.hg.1
		TC1700008714.hg.1
		TC0500011064.hg.1
		TC1700006671.hg.1
		TC0X00010064.hg.1
		TSUnmapped00000842.hg.1
		TC0200012406.hg.1
		TC0900011222.hg.1
		TC1200012295.hg.1
		TC0300007614.hg.1
		TC0100009956.hg.1
		TC0400012713.hg.1
		TC0X00010075.hg.1
		TC1900011144.hg.1
		TC0600008144.hg.1
		TC0700008739.hg.1
		TC0700010462.hg.1
		TC0900009002.hg.1
		TC1400007467.hg.1
		TC0300009731.hg.1
		TC0100010737.hg.1
		TC0800011598.hg.1
		TC0600006858.hg.1
		TC0100014317.hg.1
		TC1500008496.hg.1
		TC1700010258.hg.1
		TC1600008167.hg.1
		TC0100016909.hg.1
		TC0300010083.hg.1
		TC1400010680.hg.1
		TC0500008230.hg.1
		TC0500007063.hg.1
		TC0500010109.hg.1
		TC1800008083.hg.1
		TC0300010847.hg.1
		TC2000007405.hg.1
		TC2000006451.hg.1
		TC0X00007130.hg.1
		TC0300010723.hg.1
		TC0X00008565.hg.1
		TC0500011013.hg.1
		TC0100014898.hg.1
		TC1900007928.hg.1
		TC1700010756.hg.1
		TC1100007534.hg.1
		TC1100011798.hg.1
		TC1100009821.hg.1
		TC1500010818.hg.1
		TC2200007428.hg.1
		TC0300009791.hg.1
		TC0600007683.hg.1
		TC0X00007082.hg.1
		TC1800006580.hg.1
		TC1500008911.hg.1
		TC1700009619.hg.1
		TC0600013285.hg.1
		TC0700012157.hg.1
		TC1000007017.hg.1
		TC0800009303.hg.1
		TC0600014287.hg.1
		TC0X00008881.hg.1
		TC0100010429.hg.1
		TC0X00009582.hg.1
		TC0200008540.hg.1
		TC0200014720.hg.1
		TC1500006574.hg.1
		TC0400011910.hg.1
		TC1300009771.hg.1
		TC1400010487.hg.1
		TC0400011386.hg.1
		TC0500008119.hg.1
		TC1000010846.hg.1
		TC0200011383.hg.1
		TC1500010804.hg.1
		TC1500008889.hg.1
		TC1200011853.hg.1
		TC2000009512.hg.1
		TC0500011276.hg.1
		TC0500007711.hg.1
		TC0500006804.hg.1
		TC1600006830.hg.1
		TC0300009975.hg.1
		TC0500009411.hg.1
		TC0X00010578.hg.1
		TC0800011592.hg.1
		TC0700011773.hg.1
		TC1200010164.hg.1
		TC0800010537.hg.1
		TC1900006989.hg.1
		TC0800011541.hg.1
		TC0200010812.hg.1
		TC0500007708.hg.1
		TC2000007721.hg.1
		TC1400008839.hg.1
		TC0800011591.hg.1
		TC1700010835.hg.1
		TC1100009741.hg.1
		TC0500008591.hg.1
		TC1000010709.hg.1
		TC2000007117.hg.1
		TC0900007522.hg.1
		TC0500010945.hg.1
		TC0300006545.hg.1
		TC1600006671.hg.1
		TC1700008067.hg.1
		TC1200006586.hg.1
		TC1500007506.hg.1
		TC0600007258.hg.1
		TC1100011312.hg.1
		TC0200013504.hg.1
		TC0400008522.hg.1
		TC0200014950.hg.1
		TC1000007628.hg.1
		TC1800007157.hg.1
		TC1300009244.hg.1
		TC0600012802.hg.1
		TC1000008720.hg.1
		TC1500006817.hg.1
		TC1200011694.hg.1
		TC0300010787.hg.1
		TC0200010411.hg.1
		TC0X00010068.hg.1
		TC0700008108.hg.1
		TC0600010811.hg.1
		TC0X00007399.hg.1
		TC0X00010605.hg.1
		TC2200008353.hg.1
		TC0600008379.hg.1
		TC0200010403.hg.1
		TC0800008268.hg.1
		TC0800010261.hg.1
		TC1400008262.hg.1
		TC0X00007109.hg.1
		TC0200012507.hg.1
		TC0500007551.hg.1
		TC0100007800.hg.1
		TC0200008313.hg.1
		TC0X00010463.hg.1
		TC0100014960.hg.1
		TC1300007340.hg.1
		TC0500008428.hg.1
		TC2100007048.hg.1
		TC1700006950.hg.1
		TC1500007751.hg.1
		TC0X00006987.hg.1
		TC0100013785.hg.1
		TC0Y00006855.hg.1
		TC1100007692.hg.1
		TC0X00010780.hg.1
		TC1100008699.hg.1
		TC0900009734.hg.1
		TC0400009378.hg.1
		TC0800006771.hg.1
		TC0100015644.hg.1
		TC0200011248.hg.1
		TC1700011304.hg.1
		TC0600013435.hg.1
user_list2	54	TC1100012438.hg.1
		TC0500010510.hg.1
		TC1700006730.hg.1
		TC0200007024.hg.1
		TC1300006915.hg.1
		TC0300010003.hg.1
		TC1100008849.hg.1
		TC0400008032.hg.1
		HTA2-pos-2985912_st
		TC0800009983.hg.1
		TC2100007085.hg.1
		TC0700012801.hg.1
		TC0800007356.hg.1
		TC1400007233.hg.1
		TC1100011801.hg.1
		TC0200007928.hg.1
		TC0300009215.hg.1
		HTA2-pos-3371028_st
		TC1100009296.hg.1
		HTA2-pos-2924331_st
		HTA2-neg-47419654_st
		TC0700009586.hg.1
		HTA2-pos-3371052_st
		HTA2-pos-3145790_st
		TC0600009450.hg.1
		HTA2-neg-47419801_st
		HTA2-pos-3475282_st
		HTA2-neg-47423296_st
		HTA2-pos-2999493_st
		TC0500007709.hg.1
		TC0800006441.hg.1
		TC1800006494.hg.1
		TC0300012054.hg.1
		TC0100011700.hg.1
		TC0300012082.hg.1
		TC1500010657.hg.1
		TC0600010132.hg.1
		TC1100009575.hg.1
		TC0600010752.hg.1
		TC1600009740.hg.1
		TC0900010918.hg.1
		TC0100014464.hg.1
		TC0300012065.hg.1
		HTA2-pos-3374504_st
		TC1100009293.hg.1
		TC0200015740.hg.1
		TC1500007241.hg.1
		TC0100010281.hg.1
		TC1100012020.hg.1
		TC1900009657.hg.1
		TC0800011589.hg.1
		TC1100006880.hg.1
		TC0300009819.hg.1
		HTA2-pos-2985916_st
